gid,inspire_code,type,name,latitude,longitude
132412,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49053,17.06994
132413,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49044,17.07012
132414,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49038,17.07025
132415,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49033,17.07035
132417,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49025,17.07051
132418,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49002,17.07098
132419,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48997,17.07108
132420,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48992,17.07118
132402,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49187,17.06735
132421,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48988,17.07128
132422,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48982,17.07139
132423,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48978,17.0715
132424,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48973,17.07159
132425,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48967,17.0717
132426,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48957,17.07192
132427,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48952,17.07203
132428,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48947,17.07214
132429,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48933,17.07242
132430,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48929,17.07252
132403,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49181,17.06744
132431,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48915,17.0728
132432,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48909,17.07291
132404,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49174,17.06753
132405,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49149,17.06794
132406,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49144,17.06803
132407,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.49139,17.06813
132408,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.4912,17.06854
132409,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.491,17.06898
132410,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.4909,17.06919
132435,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48898,17.07315
132437,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48888,17.07334
132438,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48884,17.07345
132439,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48877,17.07359
132440,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48871,17.07371
132441,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48861,17.07391
132442,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48856,17.07402
132443,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48851,17.07413
132444,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48846,17.07423
132445,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48841,17.07432
132446,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48831,17.07453
132447,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48826,17.07463
132448,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48822,17.07473
132449,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48817,17.07484
132450,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48812,17.07493
132451,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48807,17.07503
132452,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48802,17.07515
132453,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48797,17.07525
132454,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48792,17.07536
132455,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48787,17.07546
132456,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48782,17.07556
132457,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48777,17.07566
132458,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48772,17.07577
132459,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48766,17.07588
132460,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48761,17.076
132461,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48753,17.07616
132462,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48748,17.07627
132463,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48743,17.07637
132464,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48737,17.07647
132465,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48733,17.07657
132466,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48728,17.07667
132468,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48718,17.07688
132469,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48714,17.07697
132470,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48709,17.07708
132471,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48704,17.07718
132472,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48698,17.07728
132473,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48694,17.07739
132474,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48689,17.07748
132475,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48684,17.07758
132476,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48679,17.07769
132477,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48674,17.07779
132478,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48669,17.07789
132479,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48664,17.07799
132480,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48655,17.0782
132481,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48649,17.07829
132482,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48645,17.07839
132483,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.4864,17.07849
132484,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48631,17.07869
132485,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48626,17.07879
132486,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48621,17.07889
132487,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48611,17.07909
132488,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48606,17.07919
132489,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48601,17.07929
132490,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48597,17.07939
132491,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48592,17.07949
132492,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48587,17.07959
132493,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48582,17.07969
132494,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48578,17.07978
132495,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48479,17.08183
132496,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.4847,17.08203
132497,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48464,17.08216
132498,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48458,17.08227
132501,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48441,17.08264
132502,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48433,17.08279
132503,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48428,17.08291
132504,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48421,17.08303
132505,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48409,17.08329
132506,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48401,17.08345
132507,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48395,17.08359
132508,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48387,17.08374
132509,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48375,17.08399
132510,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.4837,17.0841
132511,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48365,17.08421
132512,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48359,17.08433
132513,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48344,17.08462
132514,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48339,17.08472
132515,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48335,17.08483
132516,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48325,17.08502
132517,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.4832,17.08512
132518,PL.ZIPOP.1393.PP.3021042.2250,drzewo,,52.48316,17.08521
